,,,,瀚亞需要的配息資料,,,,,,,,,,,,,
,,"基準日
(yyyy/mm/dd)",月配(M)/季配(Q)/年配(Y)/半年配(S),期初-債息/利息收入/,期初-股利收入,期初-資本利得,期初-避險收入,期初-國內資本利得,當期-債息/利息收入\,當期-股利收入,當期-資本利得,當期-避險收入,當期-國內資本利得,債息/利息收入-期初,債息/利息收入-當期,費用,可分配總金額
fund_master_no,fund_no,dividend_date,dividend_type,pre_div1,pre_div2,pre_div3,pre_div4,pre_div5,div1,div2,div3,div4,div5,pre_div1_b,div1_b,fee,div_tot
D108,D109,2020/7/6,M,0,0,0,0,0,2062749,0,0,0,0,,,0,0
D108,D110,2020/7/6,M,0,0,0,0,0,87139.43,0,0,0,0,,,0,0
D108,D111,2020/7/6,M,0,0,0,0,0,94285.52,0,0,0,0,,,0,0
D108,D123,2020/7/6,M,0,0,0,0,0,304676,0,0,0,0,,,0,0
D108,D124,2020/7/6,M,0,0,0,0,0,11971,0,0,0,0,,,0,0
D108,D125,2020/7/6,M,0,0,0,0,0,41919.1,0,0,0,0,,,0,0
D112,D113,2020/7/6,M,0,0,0,0,0,23326907,0,2201229,0,0,,,0,0
D112,D114,2020/7/6,M,0,0,0,0,0,532438.45,0,46909.92,0,0,,,0,0
D112,D115,2020/7/6,M,0,0,0,0,0,1080238.83,0,208182.11,0,0,,,0,0
D112,D126,2020/7/6,M,0,0,0,0,0,4986561,0,546014,0,0,,,0,0
D112,D127,2020/7/6,M,0,0,0,0,0,221348.69,0,23455.54,0,0,,,0,0
D112,D128,2020/7/6,M,0,0,0,0,0,537476.3,0,51599.79,0,0,,,0,0
D112,D132,2020/7/6,M,0,0,0,0,0,7015790,0,693810,0,0,,,0,0
D136,D137,2020/7/6,M,0,0,0,0,0,3328641,0,205608,0,0,,,0,0
D136,D138,2020/7/6,M,0,0,0,0,0,35198.28,0,1921.9,0,0,,,0,0
D136,D139,2020/7/6,M,0,0,0,0,0,83650.88,0,4454.3,0,0,,,0,0
D136,D170,2020/7/6,M,0,0,0,0,0,6441,0,400,0,0,,,0,0
D136,D172,2020/7/6,M,0,0,0,0,0,140.23,0,8.72,0,0,,,0,0
D140,D141,2020/7/6,M,0,0,0,0,0,0,1687937,0,0,0,,,0,0
D140,D143,2020/7/6,M,0,0,0,0,0,0,33196.96,0,0,0,,,0,0
D140,D144,2020/7/6,M,0,0,0,0,0,0,169157.49,0,0,0,,,0,0
D140,D145,2020/7/6,M,0,0,0,0,0,0,318842.68,0,0,0,,,0,0
D140,D146,2020/7/6,M,0,0,0,0,0,0,14456.15,0,0,0,,,0,0
D140,D147,2020/7/6,M,0,0,0,0,0,0,4010.08,0,0,0,,,0,0
D140,D148,2020/7/6,M,0,0,0,0,0,0,1640840,0,0,0,,,0,0
D140,D149,2020/7/6,M,0,0,0,0,0,0,64116.06,0,0,0,,,0,0
D140,D150,2020/7/6,M,0,0,0,0,0,0,227227.51,0,0,0,,,0,0
D140,D151,2020/7/6,M,0,0,0,0,0,0,29522.32,0,0,0,,,0,0
D152,D153,2020/7/6,M,0,0,0,0,0,306739,22075,0,0,0,,,0,0
D152,D155,2020/7/6,M,0,0,0,0,0,4618.34,350.27,0,0,0,,,0,0
D152,D156,2020/7/6,M,0,0,0,0,0,24000.5,1769.38,0,3.02,0,,,0,0
D152,D157,2020/7/6,M,0,0,0,0,0,106574,7738,0,0,0,,,0,0
D152,D158,2020/7/6,M,0,0,0,0,0,1741.47,123.05,0,0,0,,,0,0
D152,D159,2020/7/6,M,0,0,0,0,0,9859.85,725.52,0,1.36,0,,,0,0
D22,D48,2020/7/6,M,0,2288636,0,0,0,0,689590,0,0,0,,,0,0
D22,D89,2020/7/6,M,0,0,0,0,0,0,21615.88,0,0,0,,,0,0
D28,D133,2020/7/6,M,0,0,0,0,0,0,12317,0,0,0,,,0,0
D28,D134,2020/7/6,M,0,0,0,0,0,0,22.53,0,0,0,,,0,0
D28,D135,2020/7/6,M,0,0,0,0,0,0,13900.76,0,0,0,,,0,0
D28,D44,2020/7/6,M,0,14428357,851012,0,0,0,632845,0,0,0,,,0,0
D28,D91,2020/7/6,M,0,460.39,0,0,0,0,3639.68,0,0,0,,,0,0
D28,D93,2020/7/6,M,0,54810.29,0.54,94642.74,0,0,70709.7,0,0,0,,,0,0
D30,D31,2020/7/6,M,0,0,0,0,0,52,776474,0,0,0,,,0,0
D46,D47,2020/7/6,M,11130870.38,0,0,0,0,5585007.44,0,0,0,0,,,0,0
D46,D47,2020/7/6,M,11130870.38,0,0,0,0,5585007.44,0,0,0,0,,,0,0
D56,D57,2020/7/6,M,0,0,2407998,0,0,1827174,1480565,0,0,0,,,0,0
D56,D59,2020/7/6,M,13232.27,22781.82,59486.28,0,0,12561.24,10024.99,0,0,0,,,0,0
D56,D61,2020/7/6,M,0,0,0,0,0,635.88,1009.47,0,0,0,,,0,0
D56,D63,2020/7/6,M,0,0,0,0,0,7116.22,9085.93,0,0,0,,,0,0
D56,D70,2020/7/6,M,0,0,11401.77,0,0,167159.45,133003.46,0,0,0,,,0,0
