entity_type,entity,recommended_count,not_recommended_count,unknown_count,thread_count,threads,total_mentions
clinic,台北眼袋手術推薦診所,4,0,0,2,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598 | https://www.pttweb.cc/bbs/facelift/M.1693985291.A.22C,4
clinic,台北診所,3,0,1,2,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125 | https://www.pttweb.cc/bbs/facelift/M.1748338627.A.B7E,4
clinic,眼袋醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B,2
clinic,新北優質診所,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764646570.A.83C,2
clinic,問台北醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,2
clinic,薦大醫院,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6,2
clinic,第一次做醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1631372371.A.FE2,2
clinic,台北美麗線診所,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1712945124.A.08A,2
clinic,台北眼袋手術建議診所,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1697816579.A.3BF,2
clinic,想找做眼袋的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B,1
clinic,滿多人都推薦台生診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B,1
clinic,台北有推薦醫院,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1754033321.A.E16,1
clinic,有人推薦台北哪間診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749108186.A.762,1
clinic,眼袋手術一定要找案例多的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749108186.A.762,1
clinic,價格比其他診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585,1
clinic,有上網爬文蒐集一些診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1732177592.A.432,1
clinic,但沒做過醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1732177592.A.432,1
clinic,如果有台北推薦的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1732177592.A.432,1
clinic,最近想要去醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,1
clinic,有推薦台北的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,1
clinic,已經爬文並線上諮詢了幾個診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E,1
clinic,台北新北有推薦的醫美診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1701236605.A.3AC,1
clinic,因為沒做過醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1701236605.A.3AC,1
clinic,或推薦其他台北眼袋內開診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1667274446.A.57D,1
clinic,我是給極緻醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29,1
clinic,價錢及診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
clinic,想詢問割眼袋價錢跟診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
clinic,想詢問診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
clinic,但實在不太敢在診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6,1
clinic,如一整形外科診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D,1
clinic,對這邊醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1626355988.A.693,1
clinic,光澤診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661,1
clinic,我自己跟家人在台生診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E,1
clinic,所以想說先在第二間診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1692251416.A.5E9,1
clinic,想了解診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1692251416.A.5E9,1
clinic,中山的晶華診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598,1
clinic,然後覺得很不錯的診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1678870258.A.355,1
clinic,近期又去了米蘭時尚診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29,1
clinic,最近諮詢台北某醫美診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1638465425.A.C09,1
clinic,本來想說這間診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D,1
clinic,回家前診所,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D,1
